Titel,Interpret,Keyboard-Sounds,Akkorde,Bildname
Always on my mind,"Presley, Elvis","AP>004, STR>054",,always_mind
Blue Monday / Kylie ,New Order,"1: CMP>24  / ORG>45 / PAD>74
2: LD>21 / CMP>18
Anfang: CMP>24 + LD>21","F C Dm / G C Dm
Kylie: Dm - A
Bb | A | G#- | A |
Gm | A |",
Blue Moon,"Presley, Elvis","AP>012 oder AP>020, KB>001",D / Hm / Em / A,
Bumble Bee,,"KB>045, KB>023","Cm / Fm / G F C G
F / C / G --> D - G",
Burning down the house,Talking Heads,CMP>34 (sphär) + CMP>35,G-F,burning_house
Call Me,Blondie,"PERF>006, PERF>009","Dm / Bb / G / A
Dm / F / G / Bb
Em / D / F / C / Dm / Bb / Gm A ",call_me
Dangerous,Trio,,,dangerous
Day Tripper,Bealtes,KB>026,"E / A 
F# / A G# / C# / B",
Devil in disguise,"Presley, Elvis","AP>015, KB>001","F Bb F / Bb / C7
F / Dm / F",
Don't Be Cruel,"Presley, Elvis",,D - G - Em - A - D; G-A G-A ...,
Du hast mich,"Carpendale, Howard","ORG>024, ORG>031",,
Enjoy the silence,Depeche Mode,"PERF>003, 
PERF>004 (1,2: Choir+Str, 3: Space(Straight)","Cm Eb
Cm / Ebm / Ab
Fm / Ab / Cm / Bb
Fm / Ab / Cm / H",enjoy_silence
Erotic City,,"KB>51, CMP>13","KB>10(Vintg TWah), 
KB>51 (Quak), CMP>13(Rez Clavi)",
Every 1's a Winner,Hot Chocolate,,"Riff: Eb - Bb - F; Strophe: F; Refrain: Eb - F, Eb-Bb-F",every-one-winner
Fever,"Presley, Elvis","KB>007, ORG>017 (tief)",,
Fly me to the moon,,"AP>012, STR>054",,
For what it´ s worth,,"KB>001 oder KB>025
+ PAD>82 oder ORG>39",,what_worth
Give me a list,"Ellis, Shirley",AP>015,,give_list
Goca Dünya,"Gün, Atlin","GTR>026, ETH>029,034",Am-H / Am H E / Em C Am H,goca_dunya
Gotta get the first plane home,Kinks,AP>006,"G - C
Bb - F - G",
Grandmaster Flash,,"CMP>16, LD>1",,
Holzfäller,,,A / D / E,
Hound Dog,"Presley, Elvis","AP>007 oder AP>016, ORG>004",,
Hundsgemein,Ideal,,,hundsgemein
I ain´t what you do,,"AP>8, KB>64",G / A / C,
